도시명,가격,평점
Three,A Light in the Attic, 51.77
 53.74,Tipping the Velvet,One
One, 50.10,Soumission
 47.82,Four,Sharp Objects
 54.23,Sapiens: A Brief History of Humankind,Five
The Requiem Red, 22.65,One
The Dirty Little Secrets of Getting Your Dream Job,Four, 33.34
Three,"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull", 17.93
 22.60,Four,The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics
The Black Maria, 52.15,One
"Starving Hearts (Triangular Trade Trilogy, #1)", 13.99,Two
Four, 20.66,Shakespeare's Sonnets
Set Me Free,Five, 17.46
 52.29,Five,Scott Pilgrim's Precious Little Life (Scott Pilgrim #1)
 35.02,Rip it Up and Start Again,Five
Three,"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991", 57.25
 23.88,Olio,One
 37.59,Mesaerion: The Best Science Fiction Stories 1800-1849,One
 51.33,Libertarianism for Beginners,Two
 45.17,Two,It's Only the Himalayas
